GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bombeci,edu.eci.arsw.messaging,STOMPMessagesHandler,212,0,6,0,43,0,10,0,7,0
bombeci,edu.eci.arsw.controllers,Game,22,109,2,1,4,20,2,4,0,4
bombeci,edu.eci.arsw.controllers,Board,124,1549,23,41,31,71,21,26,5,10
bombeci,edu.eci.arsw,BombDaECI,16,0,2,0,7,0,4,0,3,0
bombeci,edu.eci.arsw,WebSecurityConfig,59,0,0,0,10,0,3,0,3,0
bombeci,edu.eci.arsw,BombDaECIWebSocketConfig,48,0,0,0,6,0,3,0,3,0
bombeci,edu.eci.arsw.entities,Bomb,74,0,0,0,28,0,5,0,5,0
bombeci,edu.eci.arsw.entities,PowerUp,28,9,4,0,12,4,5,2,2,2
bombeci,edu.eci.arsw.entities,Box,27,114,3,3,7,40,3,18,0,18
bombeci,edu.eci.arsw.entities,Block,0,14,0,0,0,5,0,2,0,2
bombeci,edu.eci.arsw.entities,Player,72,352,10,16,21,75,13,36,5,29
bombeci,edu.eci.arsw.model,PlayerInteraction,32,0,0,0,13,0,7,0,7,0
bombeci,edu.eci.arsw.model,GameMode,0,15,0,0,0,3,0,1,0,1
bombeci,edu.eci.arsw.model,PowerUpType,0,21,0,0,0,4,0,1,0,1
